timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1696118400000,26962.57,26997.0,26954.09,26991.07,335.39749,1696121999999,9047071.4009579,20542,204.32754,5511504.8278297,0
1696122000000,26991.08,27037.4,26978.87,27019.83,373.49769,1696125599999,10087242.6956223,20989,204.97691,5536000.7120481,0
1696125600000,27019.83,27047.75,27018.42,27025.89,369.23383,1696129199999,9980988.7501992,19384,153.94362,4161226.4182717,0
1696129200000,27025.89,27048.0,27010.23,27044.76,271.34716,1696132799999,7335701.9325455,16741,124.84105,3374818.1138651,0
1696132800000,27044.77,27047.77,27020.9,27045.47,274.45106,1696136399999,7419331.2301341,16398,121.13263,3274493.2685335,0
1696136400000,27045.47,27072.75,27041.86,27071.72,636.01777,1696139999999,17210632.1621485,21322,337.15247,9123071.847871,0
1696140000000,27071.73,27138.33,27071.72,27128.85,859.55077,1696143599999,23300768.6119189,31999,486.44248,13186173.3690578,0
1696143600000,27128.85,27158.59,27097.04,27107.95,885.13255,1696147199999,24014519.8689599,27320,441.21679,11970355.9926376,0
1696147200000,27107.94,27157.87,27086.74,27135.47,658.87949,1696150799999,17869682.0278924,25107,331.71191,8997354.5128347,0
1696150800000,27135.47,27231.81,27135.47,27217.77,1157.83556,1696154399999,31484546.3024908,43962,590.64112,16060938.1441126,0
1696154400000,27217.78,27289.08,27159.98,27210.01,1383.16324,1696157999999,37662602.8605438,48787,721.16059,19637813.705353,0
1696158000000,27210.0,27239.89,27170.0,27187.71,769.35893,1696161599999,20925269.3209541,36013,388.31567,10561040.1902214,0
1696161600000,27187.71,27199.79,27126.28,27193.98,822.19433,1696165199999,22334739.8989464,35331,426.036,11572878.0138968,0
1696165200000,27193.98,27196.89,27148.56,27192.04,669.63962,1696168799999,18193384.7434935,32884,323.57095,8790770.7006365,0
1696168800000,27192.04,27229.29,27083.24,27119.79,996.38542,1696172399999,27053394.5879719,43790,470.41168,12771912.2027441,0
1696172400000,27119.79,27155.85,27107.01,27153.18,541.5939,1696175999999,14694463.7396887,29637,262.93008,7133784.9354225,0
1696176000000,27153.17,27155.0,27082.38,27112.19,585.50462,1696179599999,15880323.2231426,29652,243.21297,6596249.0260038,0
1696179600000,27112.2,27140.45,27035.78,27072.35,730.04943,1696183199999,19778006.1779027,34610,308.27381,8352443.2534963,0
1696183200000,27072.34,27100.01,27065.07,27096.13,438.07759,1696186799999,11866942.7165643,25812,201.68468,5463138.407582,0
1696186800000,27096.13,27107.77,27076.36,27103.02,366.1567,1696190399999,9921697.9318365,18646,194.78553,5278019.818175,0
1696190400000,27103.02,27147.0,27033.1,27109.75,766.63067,1696193999999,20773720.2984552,33814,338.11065,9162322.7409895,0
1696194000000,27109.75,27187.99,27091.78,27180.37,365.73406,1696197599999,9922333.6815947,20712,200.32039,5434875.9567907,0
1696197600000,27180.38,28065.51,27155.0,27996.43,7785.49229,1696201199999,216315971.9843425,180762,4453.35247,123692856.3416421,0
1696201200000,27996.43,28025.12,27861.47,27992.57,2561.49051,1696204799999,71583785.846114,69379,1287.43495,35978918.9701119,0
